                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 2.0065,                 1.5365,                 1.3825,                 2.1293,                 1.8703,                 1.2306,                0.33802,                 0.4793,                 0.4139,                0.15233,                  2.106,                 1.7504,                 1.6601,                 1.9922,                 2.4324,                  1.505,             0.00036324,             0.00036324,             0.00036324
                     82,                  1.978,                 1.5474,                 1.3874,                 2.0891,                  1.892,                 1.2455,                0.29086,                0.54457,                0.38827,                0.13965,                 2.0678,                 1.7739,                 1.6561,                 1.9689,                  2.375,                 1.5001,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.9243,                 1.5195,                 1.3705,                 2.0641,                 1.8197,                 1.2249,                0.24227,                0.60965,                 0.3745,                0.14073,                 2.0598,                 1.8669,                 1.6561,                 1.9583,                 2.5479,                 1.4774,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.9956,                 1.5838,                 1.4462,                 2.0818,                 1.9032,                 1.2888,                0.24308,                0.61587,                0.37546,                0.12537,                 2.0754,                 1.9276,                 1.6617,                 1.9597,                 2.7325,                 1.5075,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.9824,                 1.4959,                 1.3623,                 2.0636,                 1.8217,                 1.2287,                0.25605,                0.57018,                0.39269,                0.13704,                 2.0842,                 1.8063,                 1.6594,                 1.9576,                  2.546,                 1.5108,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.9613,                 1.4563,                 1.3553,                 2.0598,                  1.789,                 1.2199,                0.26444,                0.54151,                0.38257,                0.13422,                 2.0945,                 1.7761,                 1.6674,                 1.9696,                 2.4197,                 1.5154,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.9569,                 1.5162,                 1.4126,                 2.0348,                 1.8667,                  1.264,                0.26299,                0.53748,                0.37556,                0.13406,                 2.0984,                 1.7835,                 1.6748,                 1.9815,                 2.4273,                 1.5275,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.9628,                 1.4845,                 1.3652,                  2.034,                 1.8168,                 1.2208,                 0.2881,                0.52213,                0.37784,                0.13792,                  2.098,                 1.7606,                 1.6496,                 2.0029,                 2.4428,                 1.5118,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.9526,                 1.5203,                 1.3937,                 2.0572,                 1.8308,                 1.2545,                0.30324,                0.50063,                0.39836,                0.14873,                 2.0821,                 1.7378,                 1.6419,                 1.9959,                 2.3864,                 1.5119,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.9858,                 1.4984,                  1.386,                 2.0698,                 1.8523,                 1.2348,                0.29766,                0.62117,                0.41472,                0.15773,                 2.0774,                 1.7724,                 1.6562,                 1.9444,                 2.3897,                 1.5077,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.9539,                 1.6821,                 1.3777,                 2.0045,                 1.9729,                 1.2372,                0.31335,                0.66906,                0.41819,                0.15743,                 2.0364,                 1.8595,                 1.6592,                 1.9327,                 2.4512,                 1.5033,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.8988,                 1.6492,                  1.391,                 1.9607,                 1.9798,                 1.2363,                0.31529,                0.59568,                0.39059,                0.14961,                 1.9863,                  1.909,                 1.6449,                 1.9219,                 2.4627,                  1.489,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.9164,                 1.5791,                 1.3839,                 2.0054,                 1.9225,                 1.2557,                0.33369,                 0.5359,                0.38688,                0.14891,                 1.9699,                 1.8766,                 1.6334,                 1.9334,                 2.4046,                 1.4886,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.8751,                 1.5532,                 1.3696,                  1.945,                 1.9003,                 1.2401,                0.29448,                0.50139,                0.37384,                0.14482,                 1.9682,                 1.8417,                 1.6272,                 1.9338,                 2.3769,                 1.4917,              0.0001487,              0.0001487,              0.0001487
